"theme","quote","attribution","bio","challenge"
"Imagination","Imagination allows us to escape the predictable.  It enables us to reply to the common wisdom that we cannot soar by saying 'Just watch!'","Bill Bradley","Bradley is an American hall of fame basketball player, Rhodes scholar and former U.S. Senator from New Jersey who unsuccessfully ran for the Democratic Party's nomination for president in 2000.","The Challenge for today is to imagine your ideal school.  How would people treat one another?  How would things be?  Share your vision with someone you trust."
"Light the Way","We're all here for a reason.  I believe a bit of the reason is to throw little torches out to lead people through the dark.' ","Whoopi Goldberg","Goldberg is an American Actress, comedienne and television host.  She is one of only 13 persons who have won Academy, Emmy, Grammy and Tony Awards.  In 1990, she became the second African American female to achieve this status.","The Challenge for today is lead by example -- be a positive light for two others."
"Take Action","How do you know what you're going to do until you do it?  The answer is, you don't.","J.D. Salinger","Salinger is an author best known for his 1951 novel The Catcher in the Rye.  His success led to public attention and scrutiny, which resulted in his being reclusive until his death in 2009.","The Challenge for today is to consider something you've been putting off because you don't know the results to expect.  Make a list of three things you can do to take action."
"Love the World","Each of us has a choice about how to love the world in our own unique way.","Bernie Siegel, M.D.","Siegel was born in Brooklyn, NY, attended Colgate University and graduated with honors from Cornell University Medical College.  He is author of several books on the relationship between the patient and the healing process as it manifests throughout one's life.","The Challenge for today is to decide two unique ways how you can add love to your school or community."
"Go, Ask, Reach Out","We can all be angels to one another.  We can choose to obey the still small stirring within, the little whisper that says:  Go, ask, reach out.","Joan Wester Anderson","Anderson is an American author and lecturer. She began her writing career in 1973 with a series of family humor articles for local newspapers and religious publications.","The Challenge for today is to face your doubts, step outside your comfort zone and reach out to someone new, someone in need or someone you'd just like to get to know."
"Fear vs. Excitement","On the roller coaster of life, fear and excitement walk hand and hand.  How do you live your life?  Where do you hold on to fear?  When do you allow yourself to throw up your arms and fully live?  Feel the fear and do it anyway, the choice is yours!","Rich Dutra-St. John","The father of four daughters and co-founder of Challenge Day, Dutra's vision for the planet is to create a world where every child feels safe, loved, and celebrated.  Together with his partner and wife, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to look for an  area in your life where you have been blocked by fear and choose to face that fear."
"Love","Person to person, moment to moment, as long as we love, we change the world.","Samahria Lyte Kaufman","Kaufman is best known for co-authoring 12 books and co-creating a nonprofit organization to support autism.  ","The Challenge for today is to share your love and appreciation with three friends or family members. "
"Friends","I didn't know until I was at odds with the world, how much my friends who believe in me...mean to me.","D.H. Lawrence","Lawrence was an English author, poet, playwright, essayist and literary critic.","The Challenge for today is to find two friends who have made positive differences in your life and thank them for the differences they have made."
"Give of Yourself","You give but little when you give of your possessions. It is when you give of yourself that you truly give.","Kahlil Gibran","Gibran was a Lebanese-American artist, poet, writer, philosopher and theologian.  He is the third bestselling poet in history after William Shakespeare and Laozi.","The Challenge for today is to 'give' in a way that makes you proud."
"Labels","Labels are for jars, not people.","Source Unknown",,"The Challenge for today is to notice any labels you use today, either on yourself or others.  Are your labels creating connection or separation?  Are you looking through eyes of love or judgment?  The choice is yours."
"Plant Something","Someone is enjoying shade today because someone planted a tree long ago.' ","Warren Buffett","Buffet is an American investor, businessman and philanthropist.  He is one of the world's most successful investors and the largest shareholder and CEO of Berkshire Hathaway.  He was ranked by Forbes as the richest man in the world during the first half of 2008 and has an estimated net worth of $62 billion.","The Challenge for today is to plant a tree, a shrub or even an intention that will add shade, support or beauty to someone's life."
"Caring","I have seen so many good deeds, people helped, lives improved because someone cared.  Do what you can to show you care about other people, and you will make the world a better place.","Rosalynn Carter","Carter is the wife of former President of the United States, Jimmy Carter.  As First Lady she was an advocate for numerous causes, perhaps most notably for mental heath research.","The Challenge for today is to show someone you care.  Go the extra mile and thank or stand up for someone who wouldn't expect it."
"Coming Attractions","Imagination is the preview of life's coming attractions.","Larry Eisenberg","Eisenberg is a science fiction writer best known for his short story What Happened to Auguste Clarot?.  He designed the first radio frequency coupled pacemaker in 1960.","The Challenge for today is to find some quiet time and create a vision for the life, school and relationships of your dreams.  Write it.  Share it.  Create it."
"New Horizons","Each destination you reach only opens out into wider horizons, new and undiscovered countries for you to explore.","Barbara Sher","Sher is a business owner, career counselor and best-selling author of seven books, each of which provides a nuts-and-bolts method for uncovering natural talent and turning dreams into realities.  She is often referred to as the 'godmother of life coaching.","The Challenge for today is to set a goal you would like to achieve in the next week.  Share your goal with at least one person you trust to support you in achieving it."
"Better World for All","We are haunted by an ideal life, a better world for all, and it is because we have within us the beginning and possibility of it.","Phillips Brooks","Brooks was a noted American clergyman and author who briefly served as Bishop of Massachusetts in the Episcopal Church curing the early 1890s.","The Challenge for today is to write out your vision for the world of your dreams.  Share your vision with two friends or family members."
"Revolution of Heart","The greatest challenge of the day is how to bring about a revolution of the heart, a revolution which has to start with each one of us.","Dorothy Day","Day was an American journalist turned anarchist, social activist and, ultimately, a devout Catholic.  She became known for her social justice campaigns in defense of the poor, forsaken, hungry and homeless. Day co-founded the Catholic Worker movement in 1933.","The Challenge for today is to find someone with whom to share your heart.  Be sure to include at least three things you love about them."
"The Future","The future belongs to those who believe in the beauty of their dreams.","Eleanor Roosevelt","Roosevelt was the First Lady of the United States from 1933 to 1945.  She supported the New Deal policies of her husband, President Franklin D. Roosevelt, and assumed a role as an advocate for civil rights.  Roosevelt was also instrumental in the forming of the U.N. Association of the United States to advance the formation of the United Nations.","The Challenge for today is to take 100% responsibility for every choice you make.  Ask yourself, 'Is this choice creating the future of my dreams?"
"Kindness","Too often we underestimate the power of a touch, a smile, a listening ear, an honest accomplishment or the smallest act of caring, all of which have the potential to turn a life around.","Leo Buscaglia, Ph.D.","Buscaglia is an author of such books as Living, Loving and Learning and Born for Love, a renowned lecturer and University of Southern California professor.  His teaching has given many people insights into how we seek happiness and create loving relationships.","The Challenge for today is to do all you can to be kind."
"Action","Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing.","Mother Teresa","Mother Teresa was a Roman Catholic nun who founded the Missionaries of Charity in Calcutta, India in 1950.  She was known for her kind heart and avid humanitarianism, as well as her advocacy for the poor and helpless.  For more than 40 years she ministered to the poor, sick, orphaned and dying.  She won the Nobel Peace Prize in 1979 and India's highest civilian honor, the Bharah Ratna, in 1980 for her humanitarian work.","The Challenge for today is to go out of your way to share a smile or act of kindness with someone."
"Blessings","The hardest arithmetic to master is that which enables us to count our blessings.","Eric Hoffer","Hoffer was an American social writer and philosopher.  He produced ten books and was awarded the Presidential Medal of Freedom by Ronald Reagan.","The Challenge for today is to make a list of five blessings and share them with someone you trust."
"Intimacy","Intimacy:  In-To-Me, You-See.","Source Unknown",,"The Challenge for today is to intentionally take the risk of allowing at least one person to see into your eyes and your heart."
"Doubt","When in doubt, do something.","Harry Chapin","Chapin was an American singer and songwriter best known for his number-one hit 'Cat's in the Cradle.'  He was also a dedicated humanitarian who fought to end world hunger for which he was awarded the Congressional Gold Medal.","The Challenge for today is to consider one situation you are doubting and take action to do something toward its resolution."
"Life","Let choice whisper in your ear and love murmur in your heart.   Be ready, here comes life.","Maya Angelou","Angelou is an American poet, memoirist and actress, as well as important figure in the American Civil Rights Movement.  Angelou is known for her series of six autobiographies, of which I Know Why the Caged Bird Sings (1969) is most well known, as well as for her body of poetry.  She was nominated for the Pulitzer Prize.","The Challenge for today is to choose to be still for five minutes and listen for the whisper in your ear and the murmur in your heart."
"Speak Out","There is no lack of love on this planet.  There is a lack of courage to speak it.","Yvonne St. John-Dutra","A mother of four daughters and the co-founder of Challenge Day, a nonprofit organization, St. John has been a visionary for peace and love across the planet for the past 20 years.  Together with her partner and husband, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to speak your truth and have courage to stand up and show love for someone who believes in you."
"Community","It takes a village to raise a child","African Proverb",,"The Challenge for today is to acknowledge at least one talent you possess that adds value to a larger community.  Together we can truly accomplish miracles!"
"Reflection","It is in the stillness of our own hearts that we find the guidance for each day.","Source Unknown",,"The Challenge for today is to take some two minutes to be still and listen to your heart.  Listen to what it is telling you.  Who is one person you could love even more?  What is one action you could you take to show him/her?  Choose and notice the joy!"
"Happiness","The greatest source of happiness is forgetting yourself and trying seriously and honestly to be useful to others.","Millicent Fenwick","Fenwick was an American fashion editor, politician and diplomat.  She was a four-term Republican member of the United States House of Representatives and was outspoken in favor of civil rights and the women's movement.","The Challenge for today is to be of service to at least one other person with whom you cross paths."
"Resentment","Resentment is like taking poison and waiting for the other person to die.","Malachy McCourt","McCourt is an Irish-American actor, writer, and politician.  He ran unsuccessfully as the 2006 Green party candidate for the office of governor in New York state.","The Challenge for today is to understand that holding on to grudges deadens our energy and hardens our hearts.  Ask yourself this question, 'Is there anyone in my life I resent?'  If yes, ask yourself if it is possible to forgive that person and clean things up?"
"Ideas","To swear off making mistakes is easy.  All you have to do is swear off having ideas.","Leo Burnett","Burnett was an advertising executive famous for creating such icons as the Jolly Green Giant, Toucan Sam, Charlie the Tuna, Morris the Cat, the Pillsbury Doughboy and Tony the Tiger.  He was named by TIME magazine as one of the 100 most influential people of the 20th century.","The Challenge for today is to find a friend and share the lessons you've learned from two ideas that ended up being mistakes."
"Joy","To get the full value of joy, you must share it.","Mark Twain","Born Samuel Langhorne Clemens, but better known by his pen name, Mark Twain was an American author and humorist.  Twain is most noted for his novel Adventures of Huckleberry Finn, which has since been called The Great American Novel.  Twain became a friend to presidents, artists, industrialists and European royalty.","The Challenge for today is to choose joy.  Share two things that bring you joy with someone you trust. "
"Honesty","When you want to fool the world, tell the truth.","Otto von Bismarck","Bismarck was a German chancellor who helped engineer the Franco-Prussian War, which led to the creation of a united Germany.","The Challenge for today is to express gratitude for two experiences during which the truth seemed too good to be true."
"Attitude of Gratitude","Inside yourself or outside, you never have to change what you see, only the way you see it.","Thaddeus Golas","Golas is best known for writing The Lazy Man's Guide to Enlightenment, which has become known as a classic book on human consciousness and spirituality.","The Challenge for today is to look of at least five things for which you're grateful and share them with someone you trust."
"We're All Connected","No one is free when others are oppressed.","Mahatma Mohandas K. Gandhi","Gandhi was a major political and spiritual leader of India and the Indian independence movement. He believed in moving the masses by acts of non-violent civil disobedience. His birthday, October 2, is known worldwide as the International Day of Nonviolence.","The Challenge for today is to be an ally for others.  Stand up  for someone who's being hurt, teased or mistreated.  Remember, people don't hurt others unless they have been hurt themselves.  Those doing the hurting are often the ones who need the most love!"
"Injustice","Injustice anywhere is a threat to justice everywhere.","Dr. Reverend Martin Luther King, Jr.","A Baptist minister, MLK became a civil rights activist early in his career.  His efforts led to the 1963 March on Washington, where King delivered his 'I Have a Dream' speech.  There, he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history.","The Challenge for today is to stand up against at least one injustice you  have witness."
"Love","We should love others truly, for their own sakes rather than our own.","St. Thomas Aquinas","Thomas was a priest of the Roman Catholic Church from Italy, and an immensely influential philosopher and theologian in the tradition of scholasticism.  He is considered by many Catholics to be the church's greatest theologian.","The Challenge for today is to anonymously do something kind for another person."
"Kindness","No act of kindness, no matter how small, is ever wasted.","Aesop","Aesop, known only for the genre of fables ascribed to him, was by tradition a slave in the mid-sixth century BC in ancient Greece.","The Challenge for today is to acknowledge two acts of kindness, no matter how small, bestowed upon you."
"Good","He who wishes to secure the good of others has already secured his own.","Confucius","Confucius was a Chinese thinker and social philosopher, whose teachings deeply influenced Chinese, Korean, Japanese and Vietnamese thought and life.  His philosophy emphasized personal and governmental morality, correctness of social relationship, justice and sincerity.  Confucius' thoughts have been developed into a system known as Confucianism.","The Challenge for today is to think about one time when you looked out for the welfare of another and consider how you were both impacted. "
"Charity","Charity begins at home, but should not end there.","Thomas Fuller","Admitted into college at the age of thirteen, Fuller was an English churchman and historian.","The Challenge for today is to acknowledge and appreciate two gifts you have given to your community."
"Doing Good","In the morning ask yourself:  'What good shall I do today?'  As the day draws to a close ask your self, 'What good have I done today?'","Benjamin Franklin","Franklin was one of America's founding fathers as well as a leading author and painter.  He was a satirist, political theorist, politician, scientist, inventor, civic activist and diplomat.  As a scientist he was a major figure in the Enlightenment movement and is most known for his discoveries and theories of electricity.  He invented the lightning rod, bifocals and musical instruments.  He also founded the first fire department in Pennsylvania.","The Challenge for today is to act in ways that will make you feel proud at day's end. "
"Do What You Can","I am only one, but still I am one.  I cannot do everything, but I can do something.  And because I cannot do everything, I will not refuse to do the something I can do.","Helen Keller","Keller was an American author, activist, and lecturer. She was the first deaf blind person to have graduated from college. What is less known about Keller was her opposition to war and her campaign for women's suffrage, workers' rights and socialism.","The Challenge for today is to thing of at least one thin you can do to contribute to the lives of others."
"Try Again","I have not failed.  I've just found 10,000 ways that won't work.","Thomas Alva Edison","Edison was an American inventor and businessman who developed many devices that greatly influenced life around the world, including the phonograph and electric light bulb.","The Challenge for today is to think of two instances when you did not reach your desired results, but still made progress in finding a solution."
"Growth","You are built not to shrink down to less, but to blossom into more.","Oprah Winfrey","Winfrey is an American television host, media mogul and philanthropist.  Born in rural Mississippi to a poor unwed teenage mother, Winfrey began her career at the early age of 19 co-anchoring the local evening news and is now regarded as one of the world's most influential women.","The Challenge for today is to take at least one positive risk that leaves you feeling proud of who you are."
"Becoming","The journey in between what you once were and who you are now becoming is where the dance of life really takes place.","Barbara De Angelis","De Angelis has reached tens of millions of people throughout the world with her positive messages about love, happiness and the search for meaning in our lives.  As a best-selling author, popular television personality and sought after motivational speaker, Barbara has been a pioneer in personal transformation as one of the first people to popularize the idea of self-help in the 1980s.","The Challenge for today is to consider two way you enjoy your life journey.  Act in ways of which you feel proud and good."
"Be Loveable","If you would be loved, love and be loveable.","Benjamin Franklin","Franklin was one of America's founding fathers as well as a leading author and painter.  He was a satirist, political theorist, politician, scientist, inventor, civic activist and diplomat.  As a scientist he was a major figure in the Enlightenment movement and is most known for his discoveries and theories of electricity.  He invented the lightning rod, bifocals and musical instruments.  He also founded the first fire department in Pennsylvania.","The Challenge for today is to be loveable.  Generously share your love and appreciation with at least two others.  "
"Gift of Self","The greatest gift is a portion of thyself.","Ralph Waldo Emerson","Emerson was an American essayist, philosopher, poet and a leader of the Transcendentalist movement in the early 19th century.  His support for abolitionism late in his life created much controversy, and he was, at times, subject to abuse from crowds.","The Challenge for today is to think of two way you can generously share your passions and gifts with those around you."
"Giving","Giving opens the way for receiving.","Florence Scovel Shinn","Shinn was an American artist and book illustrator who became a New Thought spiritual teacher and metaphysical writer in her middle years.","The Challenge for today is to acknowledge three gifts you have received from giving."
"Genius to Productivity","Talent works for money and fame; the motive which moves genius to productivity is, on the other hand, less easy to determine.  It isn't money, for genius seldom gets any.  It isn't fame:  fame is too uncertain and, more closely considered, of too little worth.  It takes place, by and large, with the same sort of necessity as a tree brings forth fruit, and demands of the world no more than a soil on which the individual can flourish.","Arthur Schopenhauer","Schopenhauer was a German philosopher known for his atheistic pessimism and philosophical clarity.  ","The Challenge for today is to acknowledge the productivity you see in two friends."
"Sincere Appreciation","Flattery is from the teeth out.  Sincere appreciation is from the heart out.","Dale Carnegie","Carnegie was an American writer, lecturer and developer of famous courses in self-improvement, salesmanship, corporate training, public speaking and interpersonal skills.  Born in poverty on a farm in Missouri, he was the author of How to Win Friends and Influence People.","The Challenge for today is to share genuine appreciation with at least two others."
"Character","Ability may get you to the top, but it takes character to keep you there.","John Wooden","Wooden is a retired American basketball coach and a member of the Basketball Hall of Fame as both a player and as a coach.  He was the first person ever enshrined in both categories; only Lenny Wilkens and Bill Sharman have since been so honored.","The Challenge for today is to think of one thing you can do to stay true to yourself and 'play' as big as you possibly can."
"Judgment","You can't hold a man down without staying down with him.'   ","Booker T. Washington","Washington was an American educator, orator, author and leader of the African-American community.  He was freed from slavery as a child and earned his way though an education at Hampton Institute and Wayland Seminary.  Washington believed that education was key to African-American citizens rising within the social and economic structure of the United States.","The Challenge for today is to notice two people you judge and how.  When you think about your relationship to those people, notice how you feel inside. Maybe it's time to adjust your focus and look for the good in people."
"Smile at People","Of all the things we wear, a smile and good humor are most important.  Without them we are not properly dressed.","Source Unknown",,"The Challenge for today is to freely share your three smiles with others."
"Success","We were born to succeed, not to fail.","Henry David Thoreau","Thoreau was an American author, naturalist, transcendentalist, tax resister, development critic, surveyor, sage writer and philosopher.  He is best known for his book Walden, a reflection upon simple living in natural surroundings, and his essay 'Civil Disobedience,' an argument for individual resistance to civil government in moral opposition to an unjust state.","The Challenge for today is to do express gratitude for two successes in your life."
"Value","An object in possession seldom retains the same charm that it had in pursuit.","Gaius Caecilius Cilo","Cilo, better known as Pliny the Younger, was a lawyer, author and natural philosopher of Ancient Rome.","The Challenge for today is to consider something you've been pursuing in life and ask yourself if it will have the same charm once it's possessed."
"Difficulties","It is not because things are difficult that we do not dare; it is because we do not dare that they are difficult.' ","Seneca","Lucius Annaeus Seneca, known as Seneca the Elder, was a Roman rhetorical writer whose work includes the history of Rome and its civil wars. ","The Challenge for today is to take the risk of living big.  Take at least one positive risk that makes you proud to be you."
"What You Might Have Been","It's never too late to be what you might have been.","George Eliot","Born Mary Anne, but best known by her pen name, George Eliot was an English novelist.  She was one of the leading writers of the Victorian era.  She used a male pen name to ensure that her works were taken seriously; she wanted to make certain that she was not seen as merely a writer of romances.","The Challenge for today is to choose your actions wisely.  Think on something you may have given up and how you might still make it happen. "
"Honesty","When we are really honest with ourselves we must admit that our lives are all that really belong to us.  So it is how we use our lives that determines the kind of people we are.","Cesar Chavez","Chavez was a Mexican-American farm worker, labor leader, and civil rights activist who, with Dolores Huerta, co-founded the National Farm Workers Association which later became the United Farm Workers.","The Challenge for today is to decide for yourself who you will be and how you will live.  Share with one other person how you can Be the Change you wish to see in your school, home or community."
"Tools that Work","Over the course of our lifetimes we all collect tools for living.  Many of the tools that once served us tend to get in our way later in life.  Many tools become obsolete and even harmful both to ourselves and the people we love the most.","Rich Dutra-St. John","The father of four daughters and co-founder of Challenge Day, Dutra's vision for the planet is to create a world where every child feels safe, loved, and celebrated.  Together with his partner and wife, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to take a close look at your life and select one tool that serves you and one you can discard that doesn't serve you."
"Kindness Is Contagious","The place to improve the world is first in one's heart and head and hands.","Robert M. Pirsig","Pirsig is an American writer and philosopher, mainly known as the author of the book Zen and the Art of Motorcycle Maintenance:  An Inquiry into Values.","The Challenge for today is to do something kind for a friend or family member."
"Character","The measure of a man's real character is what he would do if he knew he would never be found out.","Thomas B. Macaulay","Macaulay was a nineteenth-century British poet, historian and Whig politician and one of the two Members of Parliament for Edinburgh.","The Challenge for today is to live this day in a way that leaves you proud to be you.  Share one character trait you like about yourself with someone you trust."
"Acts of Change","Do something for someone every day for which you do not get paid.","Albert Schweitzer","Schweitzer was a theologian, musician, philosopher and physician. He received a Nobel Peace Prize in 1953 for his philosophy of 'reverence for life' for founding and sustaining the Albert Schweitzer Hospital in Gabon in west central Africa.","The Challenge for today is to reach out and do something nice for someone who wouldn't expect it."
"Be the Hero","A hero is someone who has given his or her life to something bigger than oneself.","Joseph Campbell","Campbell was an American mythology professor, writer and lecturer best known for his work in the fields of comparative mythology and comparative religion.  His philosophy is often identified with the phrase, 'Follow Your Bliss.","The Challenge for today is to do at least one thing that really makes a difference in someone's life. "
"High Spots","The way I see it, if you want the rainbow, you've got to put up with the rain.","Dolly Parton","Parton is a Grammy Award-winning American singer-songwriter, author, actress and business person.  She remains the most successful female artist in the history of country music.","The Challenge for today is to express gratitude for something positive that has resulted from a bad experience.  "
"The Ultimate Measure","The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.","Dr. Reverend Martin Luther King, Jr.","A Baptist minister, MLK became a civil rights activist early in his career.  His efforts led to the 1963 March on Washington, where King delivered his 'I Have a Dream' speech.  There, he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history.","The Challenge for today is to step outside your comfort zone and do one thing you find invconvenient."
"Today","For you and me, today is all we have; tomorrow is a mirage that may never become a reality.","Louis L'Amour","L'Amour was an American author whose books, primarily Western fiction, remain popular.","The Challenge for today is to make the most of every opportunity that arises.  Seek out two instances to share your love, thanks or appreciation with others.  "
"Giving","For it is in giving that we receive .","St. Francis of Assisi","St. Francis of Assisi was a Roman Catholic friar and the founder of the Order of Friars Minor, more commonly known as the Franciscans.  He is known as the patron saint of animals, birds, the environment and Italy.","The Challenge for today is to go out of your way to be as generous as possible. "
"Judgment","It took me a long time not to judge myself through other people's eyes.","Sally Field","Field is an American two-time Academy Award winning actress. She became a household name at the age of 20 as Sister Bertrille on the 1960s sitcom The Flying Nun. ","The Challenge for today is to be true to who you really are.  Let go of at least two fears you have of being judged. "
"True Friendship","Hold a true friend with both hands.","Nigerian Proverb",,"The Challenge for today is to share at least one heartfelt appreciation for a friend who has been by your side through thick and thin."
"Significance","There is a need in our lives to move from success to significance.","Reverend Michael Piazza","Piazza is an author and social justice advocate who currently serves as dean of the Cathedral of Hope in Dallas, TX, as well as president of Hope for Peace and Justice, a nonprofit organization aimed at progressive-leaning people of various religious faiths.","The Challenge for today is to find a way to make a positive difference in someone's life. "
"Reflections","Everything that irritates us about others can lead us to an understanding of ourselves.","Carl Jung","Jung was a Swiss psychiatrist, an influential thinker and the founder of analytical psychology.  He emphasized understanding the psyche through exploring the worlds of dreams, art, mythology, world religion and philosophy.  His most notable ideas include the concept of the collective unconscious and synchronicity.  He emphasized the importance of balance and harmony.","If you find yourself judging someone in a negative way, look for ways you are like that person and see if you can learn to accept  those qualities in yourself.  You will be amazed at what happens."
"Criticism","The pleasure of criticizing robs us of the pleasure of being moved by some very fine things.","Jean De La Bruyere","La Bruyere was a French essayist and moralist.","The Challenge for today is to give yourself the gift of joy and celebration. Look everywhere for what you love about the people and world around you."
"Understanding","It is well to give when asked, but it is better to give unasked, through understanding.","Kahlil Gibran","Gibran was a Lebanese-American artist, poet, writer, philosopher and theologian.  He is the third bestselling poet in history after William Shakespeare and Laozi.","The Challenge for today is to do your very best to find out what another really wants and, if it doesn't compromise you, see if you can give it to them."
"Procrastination","Procrastination is the thief of time.","Edward Young","Young was an English poet, best remembered for Night Thoughts.","The Challenge for today is to notice where you have been procrastinating and take action to change that."
"Silence","It is as important to cultivate your silence power as it is your word power.","William James","James was a pioneering American psychologist and philosopher trained as a medical doctor.  He wrote influential books on the young science of psychology, educational psychology, experience and mysticism.  He was the brother of novelist Henry James and of diarist Alice James.","The Challenge for today is to notice when you want to speak, think about what you'd like to say, take a breath and notice if it really needs to be said. "
"Be Thy Own Palace","Be thy own palace or the world's thy jail.","John Donne","Donne was an English Jacobean poet, preacher and a major representative of the metaphysical poets of the period.  His poetry is noted for its vibrancy of language and inventiveness of metaphor, especially as compared to those of his contemporaries.","The Challenge for today is to go out of your way to do something nice for yourself.  Rest, exercise, take a walk or do anything that fills your heart in a positive way."
"Hope","Hope does not take away your problems.  It can lift you above them.","Maya Angelou","Angelou is an American poet, memoirist and actress, as well as important figure in the American Civil Rights Movement.  Angelou is known for her series of six autobiographies, of which I Know Why the Caged Bird Sings (1969) is most well known, as well as for her body of poetry.  She was nominated for the Pulitzer Prize.","The Challenge for today is to find one instance where you can remain hopeful and optimistic, no matter what you are dealing with."
"Reasonable Words","One ought, each day at least, to hear a little song, read a good poem, see a fine picture and, if possible, speak a few reasonable words.","Lohann Wolfgang von Goethe","Goethe was a German writer.  Goethe's works span the fields of poetry, drama, literature, theology, humanism and science.","The Challenge for today is to go out of your way to notice something profound or beautiful.  Use your words to share your observation and experience with someone special."
"Forgiveness","Forgiveness is another word for letting go.","Matthew Fox","Fox is an American Episcopalian priest and theologian.  He is an exponent of Creation Spirituality, a movement grounded in the mystical philosophies of medieval visionaries such as Meister Eckhart and Thomas Aquinas.","The Challenge for today is to decide who you'd like to forgive and that which you'd like to let go.  Share the gift of forgiveness."
"Power","We cannot avoid using power, cannot escape the compulsion to affect the world, so let us, cautious in diction and mighty in contradiction, love powerfully.","Martin Buber","Buber  was  an Austrian-Israeli-Jewish  philosopher,  translator and educator whose work centered on theistic ideals of religious consciousness, interpersonal relations and community.","The Challenge for today is to notice who you love and how you live.  How do you choose to love powerfully?"
"Attitude","The last of the human freedoms is to choose one's attitudes.","Viktor Frankl","Frankl was an Austrian neurologist and psychiatrist as well as a Holocaust survivor.  His book Man's Search for Meaning chronicles his experiences as a concentration camp inmate.  It describes his psychotherapeutic method of finding meaning in all forms of existence, even the most sordid ones, as a reason to continue living.","The Challenge for today is to notice ways in which your attitudes are lifting you up and tearing you down."
"All of Us","What is most beautiful in virile men is something feminine; what is most beautiful in feminine women is something masculine.' ","Susan Sontag","Sontag was an American literary theorist, philosopher, novelist, filmmaker and political activist.","The Challenge for today is to be who you are born to be.  Celebrate who you are and share your celebration with two others."
"Selfishness","No man is more cheated than the selfish man.","Henry Ward Beecher","Beecher was a prominent Congregationalist clergyman, social reformer, abolitionist and speaker in the mid-to-late 19th century.  An 1875 adultery trial in which he was accused of having an affair with a married woman was one of the most famous American trials of the 19th century.","The Challenge for today is to be unusually generous in at least two things you do."
"Hope and Life","We know about remorse and death.  But do we know about hope and life?  I believe in life after birth!'   ","Maxie D. Dunnam","Dunnam, widely known as an evangelist, leader and pioneer in small-group ministries, organized and served as pastor to three United Methodist churches.","The Challenge for today is to live your life 100% fully alive.  Notice how you would like things to be and three things you can do to make them that way."
"Hatred","Hatred can be overcome only by love.","Mahatma Mohandas K. Gandhi","Gandhi was a major political and spiritual leader of India and the Indian independence movement.  He believed in moving the masses by acts of non-violent civil disobedience.  His birthday, October 2, is known worldwide as the International Day of Nonviolence.","The Challenge for today is to notice where you can share more love.  Give yourself the gift of sharing it."
"Happiness","I never suspected that I would have to learn how to live -- that there were specific disciplines and ways of seeing the world I had to master before I could awaken to a simple, happy, uncomplicated life.","Dan Millman","Millman is an American author of 13 self-help books, the most famous of which is the semi-autobiographical novel, Way of the Peaceful Warrior.","The Challenge for today is to see life as a series of lessons; look carefully at two lessons you've learned.  "
"Contribution","A man has made at least a start on discovering human life when he plants shade trees under which he knows he will never sit.","D. Elton Trueblood","Trueblood was known as a 20th century American Quaker author and theologian, as well as a former chaplain both to Harvard and Stanford Universities.  Trueblood abandoned this prestige to settle in the Quaker hub community of Richmond, Indiana to spur the growth of Earlham College from a tiny regional, religious school into a top institution of higher learning.","The Challenge for today is to decide what legacy you will leave.  What is one positive thing you could do today that will live on in someone's heart?"
"Self-Respect","Self-respect is the fruit of discipline; the sense of dignity grows with the ability to say no to oneself.'  ","Abraham Heschel","Heschel was a Warsaw-born American rabbi and one of the leading Jewish theologians of the 20th century.","The Challenge of the day is to notice any negative habits you have.  Choose how you would like to change and take at least one action to change it. "
"Approval","A man cannot be comfortable without his own approval.","Mark Twain","Born Samuel Langhorne Clemens, but better known by his pen name, Mark Twain was an American author and humorist.  Twain is most noted for his novel Adventures of Huckleberry Finn, which has since been called The Great American Novel.  Twain became a friend to presidents, artists, industrialists and European royalty.","The Challenge for today is to create a list of three things you like about yourself and three talents you possess."
"Growth","He not busy being born is busy dying.","Bob Dylan","Born Robert Allen Zimmerman, Dylan is an American singer-songwriter, author, poet and painter, who has been a major figure in popular music for five decades.  Dylan was an informal chronicler and a reluctant figurehead of American unrest. A number of his songs, such as 'Blowin' in the Wind' and 'The Times They Are A-Changin'' became anthems of the civil rights movements.","The Challenge for today is to stay busy living and growing.  Stretch yourself in at least one positive way.  Do something you know will help you grow as a person."
"Maturity","The mark of the immature man is that he wants to die nobly for a cause, while the mark of a mature man is that he wants to live humbly for one.","Wilhelm Stekel","Stekel was an Austrian physician and psychologist who became one of Sigmund Freud's earliest followers.  His thought on maturity is quoted in J.D. Salinger's The Catcher in the Rye. ","The Challenge for today is to acknowledge a cause to which you can humbly attach yourself."
